timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
604731589,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604735455,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734528,-62.0,-72.0,,,1-1,"(0, 0)","(0, 0)"
604732031,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733513,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735397,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733389,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604731976,-62.0,-72.0,-60.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730495,-54.0,-72.0,-64.0,-42.0,1-1,"(0, 0)","(0, 0)"
604731301,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731533,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734393,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731315,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729252,,-72.0,-61.0,-44.0,1-1,"(0, 0)","(0, 0)"
604730537,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734597,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604730213,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735117,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604730977,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734179,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730593,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731259,-57.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604732594,-57.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604734309,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734040,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604734807,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730608,-62.0,-72.0,-62.0,-42.0,1-1,"(0, 0)","(0, 0)"
604733361,-62.0,-72.0,-59.0,-45.0,1-1,"(0, 0)","(0, 0)"
604730199,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729587,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729765,-61.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604731274,-62.0,-72.0,-61.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730963,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604731815,-62.0,-72.0,-61.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732087,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732692,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733319,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604733221,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604733940,-62.0,-72.0,-61.0,,1-1,"(0, 0)","(0, 0)"
604733249,-57.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604734541,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734681,-62.0,-72.0,-62.0,-48.0,1-1,"(0, 0)","(0, 0)"
